Name,Value,Category,Description
Phase Marg,62.59 °,System Information,Bode Plot Phase Margin
Cross Freq,10.92 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,65.3 dB,System Information,Gain at 1Hz
Gain Marg,-33.22 dB,System Information,Bode Plot Gain Margin
Vout,5 V,System Information,Operational Output Voltage
Cin IRMS,937.09 mA,Capacitor,Input capacitor RMS ripple current
Cin Pd,439.07 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,267.37 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,108.55 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,20.61%,System Information,Duty cycle
Efficiency,84.60%,System Information,Steady state efficiency
Frequency,570 kHz,System Information,Switching frequency
IC Tj,86.68 °C,IC,IC junction temperature
ICThetaJA,48.7 °C/W,IC,IC junction-to-ambient thermal resistance
L Ipp,926.19 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,673.2 mW,Inductor,Inductor power dissipation
IC Pd,1.06 W,IC,IC power dissipation
Diode Pd,999.08 mW,Diode,Diode power dissipation
D1 Tj,84.95 °C,Diode,D1 junction temperature
Pout,15 W,System Information,Total output power
Iin Avg,682.08 mA,IC,Average input current
IC Ipk,3.46 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,3.44 mV,System Information,Peak-to-peak output ripple voltage
M Vds Act,129.6 mV,Mosfet,Voltage drop across the MosFET
M Irms,1.36 A,Mosfet,MOSFET RMS ripple current
FootPrint,309 mm²,System Information,Total Foot Print Area of BOM components
Vout Actual,4.96 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,5.25%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Vin,26 V,System Information,Vin operating point
Iout,3:00 AM,System Information,Iout operating point
Cin Pd,439.07 µW,Power,Input capacitor power dissipation
Cout Pd,108.55 µW,Power,Output capacitor power dissipation
L Pd,673.2 mW,Power,Inductor power dissipation
IC Pd,1.06 W,Power,IC power dissipation
Diode Pd,999.08 mW,Power,Diode power dissipation
Total BOM,$2.50 ,System Information,Total BOM Cost
Total Pd,2.73 W,Power,Total Power Dissipation
BOM Count,16,System Information,Total Design BOM count
